Agarest Generation of War;'"Bat Files\Agarest1.bat"'
Agarest Generation of War Zero;'"Bat Files\Agarest0.bat"'
Agarest Generation of War 2;'"Bat Files\Agarest2.bat"'
Celestial Tales: Old North;'"Bat Files\CTON.bat"'
Chantelise: A Tale of Two Sisters;'"Bat Files\chan.bat"'
Evoland;'"Bat Files\Evo.bat"'
Gurumin: A Monstrous Adventure;'"Bat Files\guru.bat"'
The Legend of Heroes: Trails in the Sky;'"Bat Files\trail.bat"'
Pier Solar and the Great Architects;'"Bat Files\pier.bat"'
Recettear An Item Shops Tale;'"Bat Files\rec.bat"'
Ys;'"Bat Files\ys.bat"'
Ys 2;'"Bat Files\ys2.bat"'
Ys Origin;'"Bat Files\yso.bat"'
Ys Oath in Felghana;'"Bat Files\ysf.bat"'
Ys VI: The Ark of Napishtim;'"Bat Files\trail.bat"'
